科系	採計科目(含一階篩選方式、倍率、超篩)
中國文學系	國、英、社、*數B
歷史學系	國、英、社
哲學系	國、英、社、數B
教育學系	國、英、社、數B、英聽
政治學系	國、英、社、數A、數B
社會學系	國、英、社、數A、數B
財政學系	國、英、數A
公共行政學系	國、英、社、數A、數B
地政學系土地資源規劃組	國、英、社、數A
地政學系土地管理組	國、英、社、數A
地政學系土地測量與資訊組	國、英、數A、自
民族學系	國、英、社、*數B、英聽
外交學系	國、英、社、數A、數B
國際經營與貿易學系	國、英、社、數A
金融學系	國、英、數A
會計學系	國、英、數A
統計學系(社會組)	國、英、社、數A
統計學系(自然組)	國、英、數A、自
企業管理學系	國、英、社、數A
資訊管理學系	國、英、數A
財務管理學系	國、英、數A
風險管理與保險學系	國、英、社、數A
傳播學院大一大二不分系(社會組)	國、英、社、數B
傳播學院大一大二不分系(自然組)	國、英、數A、自
英國語文學系	國、英、社、數B、英聽
阿拉伯語文學系	國、英、社、數B
斯拉夫語文學系	國、英、社
日本語文學系	國、英、社
韓國語文學系	國、英、社、*數B
土耳其語文學系	國、英、社
歐洲語文學系法文組	國、英、社
歐洲語文學系德文組	國、英、社
歐洲語文學系西班牙文組	國、英、社
東南亞語言與文化學士學位學程越文組	國、英、社
東南亞語言與文化學士學位學程泰文組	國、英、社
東南亞語言與文化學士學位學程印尼文組	國、英、社
法律學系	國、英、社、數B
應用數學系	英、數A、*自
心理學系	國、英、數A、自、英聽
資訊科學系	國、英、數A、自
資訊科學系(人工智慧組)	國、英、數A、自
