科系,採計科目(含一階篩選方式、倍率、超篩),,,,,,,,,,,,,,,
中國文學系甲組(一般組),國、英、數B、社,,,,,,,,,,,,,,,
中國文學系乙組(華語文教學組),國、英、數B、社,,,,,,,,,,,,,,,
外國語文學系,國、英、數B、社、英聽,,,,,,,,,,,,,,,
人文社會學院學士班,國、英、數B、社,,,,,,,,,,,,,,,
教育與學習科技學系,國、英、數B、社,,,,,,,,,,,,,,,
幼兒教育學系,國、英、社,,,,,,,,,,,,,,,
教育心理與諮商學系,國、英、數B,,,,,,,,,,,,,,,
特殊教育學系,國、英、社,,,,,,,,,,,,,,,0
英語教學系,國、英、數B、社、英聽,,,,,,,,,,,,,,,
"竹師教育學院學士班甲組(雙專長組)""",國、英、數B,,,,,,,,,,,,,,,
竹師教育學院學士班乙組(永續發展教育組),國、英、數B、社,,,,,,,,,,,,,,,
"經濟學系	",國、英、數A、英聽,,,,,,,,,,,,,,,
"科技管理學院學士班	",國、英、數A,,,,,,,,,,,,,,,
計量財務金融學系,國、英、數A,,,,,,,,,,,,,,,
"數學系甲組(數學組)	",英、數A、自,,,,,,,,,,,,,,,
數學系乙組(應用數學組),英、數A、自,,,,,,,,,,,,,,,
物理學系物理組(甲組一般組),國、英、數A、自,,,,,,,,,,,,,,,
物理學系物理組(乙組天文物理組),國、英、數A、自,,,,,,,,,,,,,,,
物理學系光電物理組,國、英、數A、自,,,,,,,,,,,,,,,
"化學系	",英、數A、自,,,,,,,,,,,,,,,
"理學院學士班	",英、數A、自,,,,,,,,,,,,,,,
"生醫工程與環境科學系	",英、數A、自,,,,,,,,,,,,,,,
工程與系統科學系甲組(低碳綠能組),國、英、數A、自,,,,,,,,,,,,,,,
工程與系統科學系乙組(智慧奈米系統組),國、英、數A、自,,,,,,,,,,,,,,,
原子科學院學士班,國、英、數A、自,,,,,,,,,,,,,,,
化學工程學系,國、英、數A、自,,,,,,,,,,,,,,,
動力機械工程學系甲組,國、英、數A、自,,,,,,,,,,,,,,,
動力機械工程學系乙組,國、英、數A、自,,,,,,,,,,,,,,,
材料科學工程學系,英、數A、自,,,,,,,,,,,,,,,
工業工程與工程管理學系,國、英、數A、自,,,,,,,,,,,,,,,
"工學院學士班	",國、英、數A、自,,,,,,,,,,,,,,,
"電機工程學系甲組	",英、數A、自,,,,,,,,,,,,,,,
電機工程學系乙組,英、數A、自,,,,,,,,,,,,,,,
"資訊工程學系甲組(電子資訊組)	",國、英、數A、自,,,,,,,,,,,,,,,
資訊工程學系乙組(資訊工程組),國、英、數A、自,,,,,,,,,,,,,,,
資訊工程學系丙組(人工智慧組),英、數A、自,,,,,,,,,,,,,,,
電機資訊學院學士班,英、數A、自,,,,,,,,,,,,,,,
生命科學系,英、數A、自,,,,,,,,,,,,,,,
醫學科學系,國、英、數A、自,,,,,,,,,,,,,,,
生命科學院學士班,國、英、數A、自,,,,,,,,,,,,,,,
清華學院學士班甲組(不分系招生–創新設計),國、英、數A、自,,,,,,,,,,,,,,,
運動科學系,國、英、數A,,,,,,,,,,,,,,,
藝術學院學士班(科技藝術組),國、英、數A、數B,,,,,,,,,,,,,,,
藝術學院學士班(音樂組),國、英、數A、數B,,,,,,,,,,,,,,,
藝術學院學士班(藝設跨域組),國、英,,,,,,,,,,,,,,,
音樂學系,國、英、主修、樂理、聽寫,,,,,,,,,,,,,,,
藝術與設計學系創作組,國、英、素描、彩繪技法、創意表現、水墨書畫、美術鑑賞,,,,,,,,,,,,,,,
藝術與設計學系設計組,國、英、素描、創意表現,,,,,,,,,,,,,,,
