"科系	採計科目(含一階篩選方式、倍率、超篩)",,,,,,,,,,,,,,,,,,,,,
食品營養與保健生技學系(臺北校區),國、英、自,,,,,,,,,,,,,,,,,,,,
社會工作學系(臺北校區),國、社,,,,,,,,,,,,,,,,,,,,
家庭研究與兒童發展學系(臺北校區),國、英、社,,,,,,,,,,,,,,,,,,,,
餐飲管理學系廚藝組(臺北校區),國、英,,,,,,,,,,,,,,,,,,,,
餐飲管理學系餐旅組(臺北校區),國、英、數B,,,,,,,,,,,,,,,,,,,,
服裝設計學系(臺北校區),國、英、數B、社,,,,,,,,,,,,,,,,,,,,
媒體傳達設計學系數位3D動畫設計組(臺北校區),國、英、數B,,,,,,,,,,,,,,,,,,,,
媒體傳達設計學系創意媒體設計組(臺北校區),國、英、數B,,,,,,,,,,,,,,,,,,,,
工業產品設計學系(臺北校區),國、英、數B,,,,,,,,,,,,,,,,,,,,
建築設計學系A組(臺北校區),國、英、社,,,,,,,,,,,,,,,,,,,,
建築設計學系B組(臺北校區),國、英、自,,,,,,,,,,,,,,,,,,,,
會計學系(臺北校區),國、英、社,,,,,,,,,,,,,,,,,,,,
國際經營與貿易學系(臺北校區),國、英、社*,,,,,,,,,,,,,,,,,,,,
企業管理學系(臺北校區),國、英,,,,,,,,,,,,,,,,,,,,
財務金融學系(臺北校區),國、英,,,,,,,,,,,,,,,,,,,,
風險管理與保險學系(臺北校區),國、英、社,,,,,,,,,,,,,,,,,,,,
應用外語學系(臺北校區),國、英,,,,,,,,,,,,,,,,,,,,
資訊科技與管理學系(臺北校區),國、英、社,,,,,,,,,,,,,,,,,,,,
國際企業英語學士學位學程(臺北校區),國*、英,,,,,,,,,,,,,,,,,,,,
智慧服務管理英語學士學位學程(臺北校區),國*、英,,,,,,,,,,,,,,,,,,,,
行銷管理學系創客企劃組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
行銷管理學系電商百貨管理組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
行銷管理學系數位行銷與市調組(高雄校區),國、數B,,,,,,,,,,,,,,,,,,,,
會計暨稅務學系洗錢防制組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
會計暨稅務學系企業治理組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
會計暨稅務學系財富管理組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
會計暨稅務學系會計AI組(高雄校區),數B,,,,,,,,,,,,,,,,,,,,
國際貿易學系商務英文組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
國際貿易學系外匯金融組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
國際貿易學系跨境會展組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
國際貿易學系數位電商經營組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
國際企業管理學系東南亞商務組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
國際企業管理學系日韓商務組(高雄校區),國、英,,,,,,,,,,,,,,,,,,,,
國際企業管理學系兩岸工商管理組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
國際企業管理學系德國商務組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
金融管理學系數位金融組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
金融管理學系金融實務組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
金融管理學系金融商品組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
金融管理學系投資分析組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
資訊管理學系人工智慧商務應用組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
資訊管理學系智慧商務組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
資訊管理學系物聯網應用組高雄校區),自,,,,,,,,,,,,,,,,,,,,
資訊科技與通訊學系App設計組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
資訊科技與通訊學系智慧機器人組(高雄校區),數B,,,,,,,,,,,,,,,,,,,,
資訊科技與通訊學系無人機應用設計組(高雄校區),國、自,,,,,,,,,,,,,,,,,,,,
資訊科技與通訊學系人工智慧應用設計組(高雄校區),國、數B,,,,,,,,,,,,,,,,,,,,
資訊模擬與設計學系數位3D動畫設計組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
資訊模擬與設計學系互動遊戲設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
資訊模擬與設計學系AR/VR體感科技組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
電腦動畫學士學位學程3D組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
電腦動畫學士2D3D雙修組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
服飾設計與經營學系服裝與配件設計組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
服飾設計與經營學系品牌經營與行銷組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
時尚設計學系藝術創作設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
觀光管理學系旅館會展經營組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
觀光管理學系旅運事業經營組(高雄校區),英,,,,,,,,,,,,,,,,,,,,
觀光管理學系自然旅遊與文創觀光規劃組(高雄校區),數B,,,,,,,,,,,,,,,,,,,,
休閒產業管理學系休閒文創規劃組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
休閒產業管理學系遊憩運動企劃組(高雄校區),自,,,,,,,,,,,,,,,,,,,,
休閒產業管理學系精品咖啡烘焙經營組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
應用英語學系(高雄校區),英,,,,,,,,,,,,,,,,,,,,
應用英語學系英日雙語組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
應用英語學系國際商務組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
應用英語學系英語教學組(高雄校區),國、英,,,,,,,,,,,,,,,,,,,,
應用中文學系文創設計組(高雄校區),國、社,,,,,,,,,,,,,,,,,,,,
應用中文學系劇本創作組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
應用中文學系文化傳播組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
應用日文學系(高雄校區),國、英,,,,,,,,,,,,,,,,,,,,
應用日文學系商務組(高雄校區),國、社,,,,,,,,,,,,,,,,,,,,
應用日文學系翻譯組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
應用日文學系實習組(高雄校區),社,,,,,,,,,,,,,,,,,,,,
音樂學系(臺北校區),主修、樂理,,,,,,,,,,,,,,,,,,,,
資訊模擬與設計學系遊戲美術設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
電腦動畫學士學位2D組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
服飾設計與經營學系藝術創作設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
時尚設計學系整體造型設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
時尚設計學系視覺影像設計組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
觀光管理學系新創旅遊與運動觀光規劃組(高雄校區),國,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
