科系,採計科目(含一階篩選方式、倍率、超篩),,,,,,
電機工程學系,國、數A,,,,,,
電子工程學系,國、數A,,,,,,
資訊工程學系資訊工程組,國、英、數A,,,,,,
資訊工程學系資訊應用組,國*、英、數B,,,,,,
"	
智慧網路科技學系智慧軟體應用組",國、英*、數B,,,,,,
智慧網路科技學系智慧網通科技組,國、數A、自*,,,,,,
機械與自動化工程學系,國*、英*、數A,,,,,,
化學工程學系,國*、英*、數A,,,,,,
土木工程學系,國*、英*、數A,,,,,,
材料科學與工程學系,國、數A,,,,,,
資料科學與大數據分析學系,國*、英*、數A,,,,,,
生物醫學工程學系,國*、英*、自,,,,,,
智慧科技英語學士學位學程,國*、英*、數A,,,,,,
工業管理學系,國、英,,,,,,
資訊管理學系,國、英*,,,,,,
企業管理學系,國、 英,,,,,,
財務金融管理學系,國、英,,,,,,
會計學系財稅規劃組,國、英,,,,,,
會計學系管理應用組,國、英*、社*,,,,,,
國際商務學系,國*、英,,,,,,
公共政策與管理學系,國*、英*、社,,,,,,
醫務管理學系,國、英、社*,,,,,,
健康管理學系,國、英、社*,,,,,,
餐旅管理學系,國、英、社*,,,,,,
休閒事業管理學系,國、英、社*,,,,,,
觀光學系,國、英、社,,,,,,
廚藝學系,國*、英、社*,,,,,,
國際企業經營學系(國際學院),英,,,,,,
國際財務金融學系(國際學院),英,,,,,,
國際觀光餐旅學系(國際學院),英,,,,,,
"	
國際傳媒與娛樂管理學系(國際學院)",英,,,,,,
應用英語學系,國*、英,,,,,,
應用日語學系,國、英,,,,,,
大眾傳播學系,國、英、社,,,,,,
創意商品設計學系,國、英,,,,,,
"	
電影與電視學系編導製片組",國*、英、社,,,,,,
"	
電影與電視學系影視技術組",國、英,,,,,,
"	
數位多媒體設計學系",國、英、社*,,,,,,
"	
生物科技學系生物醫藥組",英、自,,,,,,
生物科技學系食品生技組,國、英、自,,,,,,
營養學系臨床營養組,國、英、自,,,,,,
營養學系食品營養組,國*、英、社*、自,,,,,,
護理學系,國*、英、自,,,,,,
醫學影像暨放射科學系,國*、英、數A、自,,,,,,
物理治療學系,國*、英、數A*、自,,,,,,
"	
職能治療學系",國*、英、數A*、自,,,,,,
醫學檢驗技術學系,國*、英、數A、數B、自,,,,,,
醫學系(公費生),國、英、數A、自,,,,,,
